TOPIC,WORD,MEANING,SENTENCE
40.Agreement /harmony,Harmonious,in agreement or consistent with.,The city has long been known as a city of racial intolerance and discord
41.Argue /fight,Altercation,a noisy argument or fight., There was some sort of Altercation going on around the accident site.
41.Argue /fight,Bicker,to argue about unimportant things.," After prolonged Bickering, they finally managed to find a movie that both ofthem were interested in seeing."
41.Argue /fight,Brawl,a noisy argument or fight., There was a Brawl in parliament when the pact was debated.
41.Argue /fight,Combat,a fight., Some of these soldiers have never seen a Combat.
41.Argue /fight,Contend,struggle in opposition or fight., The troops had to Contend with the enemy for control of the port.
41.Argue /fight,Fracas,a noisy argument or fight., Police are prepared for any Fracas that might follow the soccer game.
41.Argue /fight,Melee,a confused fight., A verbal disagreement at the football game soon turned into a Melee involving alot of spectators.
41.Argue /fight,Quibble,complain and argue about small matters., He spent the entire evening quibbling about the historical inaccuracies in thetelevision series on World War II
41.Argue /fight,Row,a quarell., He was engaged in a Row with his classmates.
41.Argue /fight,Squabble,argue noisily about unimportant things.," Frightened by noise of the Squabble, the kid hid under the couch."
41.Argue /fight,Tiff,a quarrel about unimportant things.," Like any couple, they occasionally engage in a Tiff."
41.Argue /fight,Tussle,a short fight., The suspect was arrested after a Tussle with a security guard.
41.Argue /fight,X Truce,an agreement between enemies to stop fighting for a period of time., A truce was reached between the 2 warring countries.
42.Biased / Calm,Aplomb,done confidently and calmly., He showed great Aplomb in dealing with the reporters.
42.Biased / Calm,Composure,calm and in control of your feelings," After the initial shock, she regained her Composure."
42.Biased / Calm,Equanimity,a calm state of mind., He is an Olympic diver who always displays remarkable Equanimity on theplatform.
42.Biased / Calm,Impassive,calm and unemotional., She remained Impassive as the officers informed her of her son's death.
42.Biased / Calm,Imperturbable,calm and undisturbed.," Although he seems outwardly Imperturbable, he can get very angry at times."
42.Biased / Calm,Nonchalant,unconcerned and unemotional., She faced the crowd with the Nonchalant ease of an experienced speaker.
42.Biased / Calm,Phlegmatic,not easily made angry or upset., He was almost Phlegmatic in conversation.
42.Biased / Calm,Placid,calm and peaceful., He is a person with a Placid manner.
42.Biased / Calm,Serene,calm and peaceful.," She is a Serene woman, who is everyone's source of support."
42.Biased / Calm,Staid,"calm, dignified and unadventurous.", Everyone was surprised by the joke from the usually Staid professor.
42.Biased / Calm,Stolid,unemotional., She remained Stolid during the trial.
42.Biased / Calm,Tranquil,calm and peaceful., The house was once again Tranquil after the kids movedoutside to play.
43.Distributed / agitated,X Agitate,make anxious or disturbed.," If I talk about the problem with him, it just agitates him even more."
43.Distributed / agitated,X Consternation,anxiety and distress.," Much to her parents' consternation, she decided to not go to college."
43.Distributed / agitated,X Disconcert,disturb., News of his criminal past has disconcerted even his admirers.
43.Distributed / agitated,X Dismay,sad and disappointed., The difficult climb up the mountain dismayed us even before we got started.
43.Distributed / agitated,X Distraught,very worried or nervous., Distraught relatives are waiting for news of the missing children.
43.Distributed / agitated,X Faze,"unsettle, disturb or upset.", You'll never succeed as a writer if you let a little bit of criticism faze you.
43.Distributed / agitated,X Fluster,disturb or confuse someone., Some speakers fluster the audience more easily than others.
43.Distributed / agitated,X Foment,stir up a violent or undesirable act., He was accused of fomenting violence.
43.Distributed / agitated,X Frenetic,wildly excited., The celebration was noisy and frenetic.
43.Distributed / agitated,X Hysterical,wildly excited., Quite a few people got hysterical by the sensational news story.
43.Distributed / agitated,X Implacable,cannot be calmed down., He has an implacable hatred for his political opponents.
43.Distributed / agitated,X Overwrought,very worried and upset., The witness became overwrought as she described the crime.
43.Distributed / agitated,X Perturb,disturb or make someone upset., It perturbed him that his son was thinking about leaving school.
44.Dominating,Absolute,having unlimited power or control., The country is ruled by an Absolute dictator.
44.Dominating,Authoritative,exercising authority., She said this with an Authoritative air.
44.Dominating,Autocrat,a dictatorial person., European Autocrats once commonly believed that they had received the right torule directly from God.
44.Dominating,Despot,"a cruel person, especially a ruler.", The cruel dictator killed thousands of people on the spot.
44.Dominating,Dogmatic,forcefully or arrogantly laying one's opinions on others., She's become so Dogmatic lately that arguing with her is pointless.
44.Dominating,Hegemony,dominance of one group over another., They discussed the national government's Hegemony over their tribalcommunity.
44.Dominating,Imperious,domineering or dominating., She is an Imperious movie star who thinks she's some sort of goddess.
44.Dominating,Martinet,a very strict person who demands that other people obey orders completely., The prison's warden was a cruel Martinet.
44.Dominating,Totalitarian,a dictatorial person or government., We were asked to oppose Totalitarian ruler and embrace Democracy.
44.Dominating,Tyrant,"a dictatorial person, especially a ruler.", The country was ruled by a succession of Tyrants.
45.Equality,Absolute,having unlimited power or control., The country is ruled by an Absolute dictator.
45.Equality,Authoritative,exercising authority., She said this with an Authoritative air.
45.Equality,Autocrat,a dictatorial person., European Autocrats once commonly believed that they had received the right torule directly from God.
45.Equality,Despot,"a cruel person, especially a ruler.", The cruel dictator killed thousands of people on the spot.
45.Equality,Dogmatic,forcefully or arrogantly laying one's opinions on others., She's become so Dogmatic lately that arguing with her is pointless.
45.Equality,Hegemony,dominance of one group over another., They discussed the national government's Hegemony over their tribalcommunity.
45.Equality,Imperious,domineering or dominating., She is an Imperious movie star who thinks she's some sort of goddess.
45.Equality,Martinet,a very strict person who demands that other people obey orders completely., The prison's warden was a cruel Martinet.
45.Equality,Totalitarian,a dictatorial person or government., We were asked to oppose Totalitarian ruler and embrace Democracy.
45.Equality,Tyrant,"a dictatorial person, especially a ruler.", The country was ruled by a succession of Tyrants.
46.Excessive Flattery,Adulation,"praise, esp when greater than is necessary.", The band enjoys the Adulation of their fans wherever it goes.
46.Excessive Flattery,Blandishment,something that tends to flatter or entice., He refused to be moved by either threats or Blandishments.
46.Excessive Flattery,Fawn,excessively willing to obey., The sports star was surrounded by Fawning fans.
46.Excessive Flattery,Fulsome,too generous in praising or thanking somebody., He was Fulsome in his praise of the Prime Minister.
46.Excessive Flattery,Obsequious,exessively willing to obey., She's constantly followed by Obsequious assistants who will do anything shetells them to.
46.Excessive Flattery,Sycophant,a flaterrer.," When her career was riding high, the actress often mistook Sycophants for truefriends."
46.Excessive Flattery,Toady ,a flatterer., She's a real Toady to the boss.
46.Excessive Flattery,Unctuous,exessively willing to obey., An Unctuous appraisal of the talent shown by the boss's daughter.
47.Including Everything,COMPREHENSIVE,covering everything., A COMPREHENSIVE overview of European history since the French Revolution.
